origin_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.975,4.370323588740217
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.99,5.594425387980192
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.01,0
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.025,0
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.05,0
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.1,0.29742168633781363
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.15000000000000002,0.6869354617703246
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.2,0.904338342026452
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.25,1.1714970700198375
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.3,1.3602878038047477
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.35000000000000003,1.4237420858618506
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.4,1.487573803804748
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.45,1.5687878038047478
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.5,1.6308028038047475
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.55,1.7268034053475048
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.6000000000000001,1.8035074956571775
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.6500000000000001,1.8783086110535905
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.7000000000000001,1.9854015461301624
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.7500000000000001,2.1733993384048667
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.8,2.355522197576618
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.8500000000000001,2.5675955157182906
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.9000000000000001,2.8657187322655786
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.95,3.799412648954285
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.975,4.804367432188576
2016-05-14,2016-05-28,2,HHS Region 3,ili perc,quantile,0.99,6.591977803804747
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.01,0
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.025,0
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.05,0
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.1,0
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.15000000000000002,0.2212991038047476
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.2,0.3966410934695476
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.25,0.6458776058227673
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.3,0.8794253644106879
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.35000000000000003,1.0510216835220438
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.4,1.1234488316517557
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.45,1.2137333038047475
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.5,1.3134954221368376
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.55,1.4052338038047476
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.6000000000000001,1.4830178961002978
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.6500000000000001,1.54868853202615
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.7000000000000001,1.6684978038047475
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.7500000000000001,1.8247563791887844
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.8,2.069313946879868
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.8500000000000001,2.3986009881985675
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.9000000000000001,2.8598638257376043
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.95,3.8503292254171178
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.975,5.176350389910187
2016-05-14,2016-06-04,3,HHS Region 3,ili perc,quantile,0.99,6.040801020676548
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.01,0
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.025,0
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.05,0
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.1,0
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.15000000000000002,0.11319422807093472
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.2,0.35631663863077234
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.25,0.5433137446207073
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.3,0.6635555441848575
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.35000000000000003,0.7681851592950546
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.4,0.8351913033781833
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.45,0.8772276220241549
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.5,0.9148532615143758
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.55,0.9592291916429349
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.6000000000000001,1.0063849825796551
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.6500000000000001,1.0525599809639292
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.7000000000000001,1.1012620172441303
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.7500000000000001,1.248310751483494
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.8,1.4474323307239407
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.8500000000000001,1.6901646344215069
2016-05-14,2016-05-21,1,HHS Region 4,ili perc,quantile,0.9000000000000001,2.295088582579655
